User,EnergyConsumption
151.17,1426.21
90.04,1074.22
51.55,446.788
66.43,1602.7
154.13,1083.95
91.84,32.0809
151.17,1166.35
90.04,700.475
51.55,702.302
66.43,1162.0
154.13,207.112
91.84,569.953
151.17,1434.13
90.04,928.696
51.55,451.401
66.43,965.592
154.13,1022.96
91.84,1073.01
151.17,1217.74
90.04,596.282
51.55,1100.09
66.43,1167.55
154.13,725.767
91.84,435.19
151.17,1308.53
90.04,43.8014
51.55,46.0444
66.43,973.914
154.13,580.295
91.84,767.113
151.17,683.493
90.04,1027.16
51.55,1179.37
66.43,336.237
154.13,583.503
91.84,1102.61
151.17,527.89
90.04,1601.08
51.55,1295.71
66.43,467.033
154.13,638.738
91.84,1065.75
151.17,473.009
90.04,918.774
51.55,65.6749
66.43,603.994
154.13,744.841
91.84,387.695
151.17,406.761
90.04,1303.22
51.55,291.957
66.43,622.874
154.13,949.836
91.84,219.148
151.17,794.725
90.04,567.815
51.55,859.517
66.43,1573.91
154.13,156.257
91.84,1127.92
